N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
1;Un cliente solicita una funcionalidad adicional no incluida en el alcance original del proyecto. ¿Qué debe hacer el director del proyecto?;Aceptar el cambio si es fácil de implementar;Informar al equipo y agregar la funcionalidad;Iniciar el proceso de control de cambios;Preguntar al patrocinador si está de acuerdo;C;Se debe seguir el proceso formal para controlar cambios, no decidir arbitrariamente.;Procesos;Tarea 10: Gestionar cambios;Predictivo;Saltarse Change Control: Ante un cambio, primero evaluar impacto. No decidir arbitrariamente.
2;¿Cuál es el propósito principal de un registro de interesados?;Documentar los entregables del proyecto;Listar los recursos humanos asignados;Identificar y clasificar a los interesados;Planificar la calidad del proyecto;C;Permite comprender las necesidades e influencias de los interesados.;Procesos;Tarea 9: Comprometer interesados;Predictivo;PMI Mindset: El registro de interesados es dinámico. Identificar y clasificar es siempre el primer paso.
3;Durante una reunión de retrospectiva, el equipo identifica una mejora para el próximo sprint. ¿Cuál es el siguiente paso?;Agregarlo al backlog de producto;Aplicar el cambio inmediatamente;Documentarlo en el acta de constitución;Incluirlo en el plan de gestión de riesgos;A;Las mejoras identificadas deben gestionarse dentro del backlog.;Personas;Tarea 1: Gestionar conflictos;Ágil;PMI Mindset: Las mejoras de la retrospectiva van al backlog. El PM facilita, no impone la solución técnica.
4;¿Cuál es la diferencia entre el cronograma y la línea base del cronograma?;No hay diferencia;La línea base del cronograma incluye las reservas de gestión;El cronograma muestra el trabajo planeado y real, la línea base sólo el planeado;El cronograma es un plan preliminar, la línea base es final;C;El cronograma evoluciona, la línea base se usa para comparar el rendimiento.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;"Orden de acciones: La línea base es la referencia; el cronograma es el documento vivo con datos reales."
5;¿Qué técnica se utiliza para evaluar el impacto cualitativo de un riesgo?;Análisis Monte Carlo;Análisis PERT;Matriz de probabilidad e impacto;Simulación de eventos;C;Es la herramienta estándar para análisis cualitativo de riesgos.;Personas;Tarea 2: Liderar un equipo;Ágil;PMI Mindset: El líder elimina impedimentos (Servant Leadership), no asigna tareas individuales.
6;¿Cuál es el rol del patrocinador en un proyecto?;Controlar la calidad del producto;Monitorear los cronogramas;Proporcionar recursos y apoyo;Gestionar al equipo del proyecto;C;El patrocinador apoya con recursos y decisiones clave.;Procesos;Tarea 10: Gestionar cambios;Predictivo;Saltarse Change Control: No se implementa nada que afecte la línea base sin pasar por el CCB.
7;El valor ganado (EV) es de 10,000 y el costo real (AC) es de 12,000. ¿Cuál es el índice de rendimiento de costos (CPI)?;1.2;0.83;2.0;1.0;B;CPI = EV / AC = 10,000 / 12,000 = 0.83.;Procesos;Tarea 3: Gestionar riesgos;Híbrido;Riesgo vs Issue: Si el problema ya ocurrió, va al Issue Log. No se queda en el Risk Register.
8;¿Qué proceso asegura que el trabajo del proyecto cumple con los estándares de calidad?;Controlar la calidad;Planificar la calidad;Validar el alcance;Auditar procesos;A;Evalúa si los entregables cumplen con los requisitos.;Personas;Tarea 14: Promover colaboración;Ágil;PMI Mindset: Las decisiones técnicas son del equipo. El PM protege al equipo de interferencias externas.
9;¿Cuál de los siguientes es un artefacto ágil?;Estructura de desglose del trabajo (EDT);Product backlog;Plan de gestión de adquisiciones;Acta de constitución;B;Es la fuente de requerimientos priorizados en Scrum.;Procesos;Tarea 12: Gestionar artefactos;Predictivo;Orden de acciones: El Acta de Constitución da la autoridad formal. Sin ella, el proyecto no existe legalmente.
10;"¿Cuál es el objetivo del proceso ""Desarrollar el acta de constitución del proyecto""?";Definir las actividades del cronograma;Obtener la aprobación formal para iniciar el proyecto;Desarrollar el enunciado del alcance;Contratar al equipo de proyecto;B;Es el documento que formaliza la existencia del proyecto.;Procesos;Tarea 5: Gestionar alcance;Predictivo;"PMI Mindset: Si no está en la EDT/WBS, no se hace. Ayuda a prevenir el ""Scope Creep""."
11;Estás trabajando en un entorno híbrido. El cliente solicita una mejora que no está en el alcance inicial. ¿Qué deberías hacer primero?;Implementarla si no afecta el costo;Registrar el cambio y pasarlo por el proceso de control integrado;Preguntar al equipo si puede integrarse;Informar al cliente que no es posible hacer cambios;B;Todo cambio debe pasar por el proceso de control formal.;Procesos;Tarea 11: Gestionar adquisiciones;Predictivo;Orden de acciones: El cierre de contratos ocurre antes del cierre administrativo del proyecto.
12;El proyecto tiene un SPI = 0.78 y CPI = 1.09. ¿Qué indica esto?;Está atrasado y sobre el presupuesto;Está adelantado y bajo presupuesto;Está atrasado pero bajo presupuesto;Está adelantado pero sobre presupuesto;C;SPI < 1 indica retraso, CPI > 1 indica ahorro.;Personas;Tarea 5: Capacitar al equipo;Híbrido;PMI Mindset: Si falta una competencia, se presupuesta capacitación. No se reemplaza al experto de inmediato.
13;Un interesado no responde a las comunicaciones ni participa activamente. ¿Qué acción es más efectiva?;Escalar al patrocinador;Revisar el análisis de interesados y actualizar estrategias;Ignorar al interesado y continuar;Programar reuniones adicionales para presionarlo;B;Es clave adaptar la estrategia de involucramiento.;Procesos;Tarea 7: Gestionar calidad;Predictivo;"PMI Mindset: La calidad se planifica y se previene; no se espera a inspeccionar al final."
14;En un proyecto ágil, el equipo no ha completado los elementos del backlog comprometidos. ¿Qué debe hacer el Scrum Master?;Reasignar tareas automáticamente;Extender el sprint;Revisar la velocidad del equipo y ajustar el plan;Notificar al Product Owner y cancelar entregables;C;Se deben ajustar las expectativas según la velocidad.;Procesos;Tarea 1: Ejecutar con urgencia;Ágil;PMI Mindset: En Ágil, el valor se entrega de forma incremental y temprana (MVP).
15;Una tarea crítica se retrasa. ¿Qué técnica es más adecuada para resolver este problema?;Fast Tracking;Monte Carlo;Histogramas;Técnica Delphi;A;Consiste en ejecutar tareas en paralelo para ganar tiempo.;Procesos;Tarea 17: Gestionar el cierre;Predictivo;Orden de acciones: La aceptación formal del cliente es necesaria antes de liberar al equipo.
16;Un cambio urgente debe aplicarse. ¿Qué haces primero?;Ejecutarlo inmediatamente;Registrar y analizar el impacto antes de actuar;Consultar con el equipo;Escalar al comité de dirección;B;Todo cambio debe ser evaluado antes de implementarse.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;PMI Mindset: El presupuesto incluye reservas de contingencia (riesgos conocidos).
17;En una retrospectiva ágil, el equipo señala que la comunicación con el cliente es deficiente. ¿Qué acción debes tomar?;Aumentar la frecuencia de reuniones con el cliente;Escalar al patrocinador;Desestimar porque no es parte del equipo;Cambiar al cliente de proyecto;A;La mejora continua incluye la comunicación externa.;Personas;Tarea 6: Generar entendimiento;Híbrido;PMI Mindset: La comunicación debe ser bidireccional para asegurar que los requisitos se entendieron.
18;En la ejecución, identificas un riesgo no previsto que podría impactar el presupuesto. ¿Qué deberías hacer?;Rechazar el riesgo;Añadirlo al registro de riesgos y desarrollar una respuesta;Ignorarlo si no ha ocurrido;Asignarlo al cliente;B;Los nuevos riesgos deben registrarse y analizarse.;Procesos;Tarea 8: Gestionar comunicaciones;Predictivo;PMI Mindset: Si un interesado se queja de falta de info, revisa primero el Plan de Comunicaciones.
19;¿Cuál es el principal propósito del plan de gestión de beneficios?;Medir el desempeño técnico;Definir cómo y cuándo se obtendrán los beneficios del proyecto;Probar entregables;Justificar el caso de negocio;B;Establece el marco para asegurar el retorno esperado.;Personas;Tarea 11: Apoyar equipo virtual;Híbrido;PMI Mindset: En equipos remotos, la tecnología debe facilitar la colaboración asíncrona.
20;"¿Cuándo se realiza el proceso de ""Validar el Alcance""?";Durante la ejecución;Al cierre del proyecto;Al finalizar cada entregable o fase;Solo en auditorías;C;Se valida cada entregable antes del cierre completo.;Procesos;Tarea 13: Determinar metodología;Híbrido;PMI Mindset: El enfoque (Ágil/Cascada) se elige según la estabilidad de los requisitos.
